Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates,Population - Sex: all - Age: all - Variant: medium,,,
Afghanistan,AFG,2000,20130334,,,,
Afghanistan,AFG,2001,20284303,,,,
Afghanistan,AFG,2002,21378123,,,,
Afghanistan,AFG,2003,22733053,,,,
Afghanistan,AFG,2004,23560656,,,,
Afghanistan,AFG,2005,24404575,,,,
Afghanistan,AFG,2006,25424100,,,,
Afghanistan,AFG,2007,25909852,,,,
Afghanistan,AFG,2008,26482631,,,,
Afghanistan,AFG,2009,27466102,,,,
Afghanistan,AFG,2010,28284088,,,,
Afghanistan,AFG,2011,29347708,,,,
Afghanistan,AFG,2012,30560036,,,,
Afghanistan,AFG,2013,31622709,,,,
Afghanistan,AFG,2014,32792528,,,,
Afghanistan,AFG,2015,33831767,,,,
Afghanistan,AFG,2016,34700613,,,2014,2033
Afghanistan,AFG,2017,35688941,,,,
Afghanistan,AFG,2018,36743040,,,,
Afghanistan,AFG,2019,37856125,,,,
Afghanistan,AFG,2020,39068977,,,,
Afghanistan,AFG,2021,40000410,,,,
Afghanistan,AFG,2022,40578847,,,,
Afghanistan,AFG,2023,41454762,,,,
Afghanistan,AFG,2024,,42647502,,,
Afghanistan,AFG,2025,,43844116,,,
Afghanistan,AFG,2026,,45047067,,,
Afghanistan,AFG,2027,,46258913,,,
Afghanistan,AFG,2028,,47470571,,,
Afghanistan,AFG,2029,,48725719,,,
Afghanistan,AFG,2030,,50039404,,,
Afghanistan,AFG,2031,,51376002,,,
Afghanistan,AFG,2032,,52707848,,,
Afghanistan,AFG,2033,,54044254,,,
Afghanistan,AFG,2034,,55359464,,,
Afghanistan,AFG,2035,,56647234,,,
Afghanistan,AFG,2036,,57953665,,,
Afghanistan,AFG,2037,,59279039,,,
Afghanistan,AFG,2038,,60597844,,,
Afghanistan,AFG,2039,,61944474,,,
Afghanistan,AFG,2040,,63347877,,,
Afghanistan,AFG,2041,,64738850,,,
Afghanistan,AFG,2042,,66060222,,,
Afghanistan,AFG,2043,,67375164,,,
Afghanistan,AFG,2044,,68703966,,,
Afghanistan,AFG,2045,,70021200,,,
Afghanistan,AFG,2046,,71384699,,,
Afghanistan,AFG,2047,,72756306,,,
Afghanistan,AFG,2048,,74109735,,,
Afghanistan,AFG,2049,,75515605,,,
Afghanistan,AFG,2050,,76885136,,,
